CALLS,,,,,,,,,,,,PUTS,,,,,,,,,,
Chart,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI,Chart
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"51,000","-1,500",1,235.25,0.05,-,-,-,0.05,"4,500",500,"18,000",225.3,232,"6,000",-23,224,-,1,"-1,500","6,000",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,-,-,-,-,-,-,-,-,3,"1,500",510,"18,000",235.35,243.15,"15,000",-,217.95,-,-,-,"3,000",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,-,-,-,-,-,-,-,-,3,"1,500",520,"18,000",245.25,253.15,"15,000",-,-,-,-,-,-,https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,-,-,-,-,-,-,-,-,-,-,530,"16,500",257,260.8,"6,000",-1,257,-,1,"-1,500","1,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,-,-,-,-,-,-,-,-,-,-,540,"18,000",265.3,273.2,"15,000",-,-,-,-,-,-,https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,-,-,-,-,-,-,-,-,-,-,550,"18,000",275.25,283.15,"15,000",-,-,-,-,-,-,https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,-,-,-,-,-,-,-,-,-,-,560,"15,000",286.7,293.15,"15,000",-,-,-,-,-,-,https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,-,-,-,-,-,-,-,-,-,-,570,"15,000",296.65,303.15,"15,000",-,301,-,-,-,"1,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,-,-,-,-,-,-,-,-,-,-,580,"18,000",305.15,313.15,"15,000",-,-,-,-,-,-,https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,-,-,-,-,-,-,-,-,-,-,590,"18,000",315.1,323.15,"15,000",-,-,-,-,-,-,https://www1.nseindia.com/live_market/resources/images/grficon.gif
Total,"8,454,000",,"8,130",,,,,,,,,,,,,,,,"3,892",,"4,087,500",Total
